run_id,step,state,rate_Mbps,iperf_returncode,iperf_stderr,iperf_stdout_snippet,duration_s,bytes_sent,achieved_Mbps,wall_start,wall_end,wall_duration
20251003_171657,1,0,0,,,,0.0,0,0.0,1759522617.5280147,1759522617.5280156,9.5367431640625e-07
20251003_171657,2,0,0,,,,0.0,0,0.0,1759522617.5291755,1759522617.529177,1.430511474609375e-06
20251003_171657,3,0,0,,,,0.0,0,0.0,1759522617.529657,1759522617.5296574,4.76837158203125e-07
20251003_171657,4,0,0,,,,0.0,0,0.0,1759522617.5300622,1759522617.5300634,1.1920928955078125e-06
20251003_171657,5,0,0,,,,0.0,0,0.0,1759522617.530406,1759522617.5304067,7.152557373046875e-07
20251003_171657,6,0,0,,,,0.0,0,0.0,1759522617.5307283,1759522617.5307298,1.430511474609375e-06
20251003_171657,7,0,0,,,,0.0,0,0.0,1759522617.5310354,1759522617.5310361,7.152557373046875e-07
20251003_171657,8,0,0,,,,0.0,0,0.0,1759522617.531328,1759522617.531329,9.5367431640625e-07
20251003_171657,9,0,0,,,,0.0,0,0.0,1759522617.531601,1759522617.531602,9.5367431640625e-07
20251003_171657,10,0,0,,,,0.0,0,0.0,1759522617.5318878,1759522617.5318887,9.5367431640625e-07
20251003_171657,11,0,0,,,,0.0,0,0.0,1759522617.532171,1759522617.532172,9.5367431640625e-07
20251003_171657,12,0,0,,,,0.0,0,0.0,1759522617.5324457,1759522617.5324464,7.152557373046875e-07
20251003_171657,13,0,0,,,,0.0,0,0.0,1759522617.532729,1759522617.53273,1.1920928955078125e-06
20251003_171657,14,0,0,,,,0.0,0,0.0,1759522617.5330298,1759522617.5330307,9.5367431640625e-07
20251003_171657,15,1,10,0,,"{
	""start"":	{
		""connected"":	[{
				""socket"":	5,
				""local_host"":	""191.36.15.4"",
				""local_port"":	37791,
				""remote_host"":	""191.36.15.57"",
				""remote_port"":	5201
			}],
		""version"":	""iperf 3.19.1"",
		""system_info"":	""Linux algo 6.15.6-1-default #1 SMP PREEMPT_DYNAMIC Fri Jul 11 05:06:35 UTC 2025 (a69e09e) x86_64"",
		""timestamp"":	{
			""time"":	""Fri, 03 Oct 2025 20:16:57 GMT"",
			""timesecs"":	1759522617
		},
		""connecting_to"":	{
			""host"":	""191.36.15.57"",
			""port"":	5201
		},
		""cookie"":	""arfsx55qhcadeud2fie6spwoq4v2z5p2tcwg"",
		""target_bitrate"":	10000000,
		""fq_rate"":	0,
		""sock_bufsize"":	0,
		""sndbuf_actual"":	212992,
		""rcvbuf_actual"":	212992,
		""test_start"":	{
			""protocol"":	""UDP"",
			""num_streams"":	1,
			""blksize"":	1448,
			""omit"":	0,
			""duration"":	5,
			""bytes"":	0,
			""blocks"":	0,
			""reverse"":	0,
			""tos"":	0,
			""target_bitrate"":	10000000,
			""bidir"":	0,
			""fqrate"":	0,
			""interval"":	1
		}
	},
	""intervals"":	[{
			""streams"":	[{
					""socket"":	5,
					""start"":	0,
					""end"":	1.001031,
					""seconds"":	1.0010310411453247,
					""bytes"":	1252520,
					""bits_per_second"":	10009839.443675477,
					""packets"":	865,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	0,
				""end"":	1.001031,
				""seconds"":	1.0010310411453247,
				""bytes"":	1252520,
				""bits_per_second"":	10009839.443675477,
				""packets"":	865,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	1.001031,
					""end"":	2.001058,
					""seconds"":	1.0000269412994385,
					""bytes"":	1249624,
					""bits_per_second"":	9996722.675301,
					""packets"":	863,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	1.001031,
				""end"":	2.001058,
				""seconds"":	1.0000269412994385,
				""bytes"":	1249624,
				""bits_per_second"":	9996722.675301,
				""packets"":	863,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	2.001058,
					""end"":	3.000946,
					""seconds"":	0.999888002872467,
					",5.001398,6252464,10.001146079556156,1759522617.5333643,1759522622.5408692,5.007504940032959
