state,rate_Mbps,duration_s,bytes_sent,timestamp
0,0,0.0,0,1759517418.760775
1,10,5.001515,6258688,1759517423.766743
1,10,5.002697,6258688,1759517428.777035
0,0,0.0,0,1759517428.777206
1,10,5.001475,6258688,1759517433.788193
1,10,5.002174,6258688,1759517438.8057933
2,50,5.001574,31260672,1759517443.821391
1,10,5.001266,6258688,1759517448.8373494
1,10,5.002196,6258688,1759517453.8512366
2,50,5.001597,31260672,1759517458.866879
1,10,5.001549,6258688,1759517463.8767703
2,50,5.001532,31260672,1759517468.8846202
2,50,5.001263,31260672,1759517473.892298
0,0,0.0,0,1759517473.8924549
1,10,5.001005,6258688,1759517478.9062152
0,0,0.0,0,1759517478.9063773
0,0,0.0,0,1759517478.9064734
0,0,0.0,0,1759517478.9065552
0,0,0.0,0,1759517478.906622
0,0,0.0,0,1759517478.9067013
0,0,0.0,0,1759517478.9067676
1,10,5.001561,6258688,1759517483.920043
2,50,5.001125,31260672,1759517488.9334412
1,10,5.002366,6258688,1759517493.9453394
1,10,5.001996,6258688,1759517498.9612837
1,10,5.001863,6258688,1759517503.9754505
1,10,5.00076,6258688,1759517508.983385
1,10,5.001625,6258688,1759517513.9912705
0,0,0.0,0,1759517513.9914627
0,0,0.0,0,1759517513.991551
0,0,0.0,0,1759517513.991637
0,0,0.0,0,1759517513.9917371
0,0,0.0,0,1759517513.9918206
2,50,5.002667,31260672,1759517519.0064368
2,50,5.00144,31260672,1759517524.022208
2,50,5.000869,31260672,1759517529.0374765
0,0,0.0,0,1759517529.0376863
2,50,5.001236,31260672,1759517534.0465662
1,10,5.001448,6258688,1759517539.0592644
0,0,0.0,0,1759517539.0594566
0,0,0.0,0,1759517539.0595796
1,10,5.001884,6258688,1759517544.0758686
1,10,5.001554,6258688,1759517549.0837824
0,0,0.0,0,1759517549.0839782
0,0,0.0,0,1759517549.0840745
0,0,0.0,0,1759517549.0841615
0,0,0.0,0,1759517549.084245
0,0,0.0,0,1759517549.0843346
0,0,0.0,0,1759517549.0844254
1,10,5.00157,6258688,1759517554.0933957
